,Quality Control Index,Performance Ratio
1/1/2015,0.955603448,0.88984202
1/2/2015,0.947868585,0.889105932
1/3/2015,0.954879423,0.934635912
1/4/2015,0.957177539,0.927932798
1/5/2015,0.951231527,0.938031582
1/6/2015,0.953568876,0.912235587
1/7/2015,0.944343228,0.857848913
1/8/2015,0.956276039,0.907509256
1/9/2015,0.958430836,0.910073157
1/10/2015,0.959373761,0.898035104
1/11/2015,0.953569075,0.868802475
1/12/2015,0.961491336,0.857900582
1/13/2015,0.958336971,0.852716219
1/14/2015,0.95321752,0.849064364
1/15/2015,0.957264772,0.875677399
1/16/2015,0.961909083,0.856211057
1/17/2015,0.96112069,0.838436043
1/18/2015,0.960701694,0.830289753
1/19/2015,0.959134718,0.860527002
1/20/2015,0.948788617,0.845570524
1/21/2015,0.938365799,0.869293438
1/22/2015,0.951443514,0.869310363
1/23/2015,0.953005047,0.890299422
1/24/2015,0.959530358,0.874913574
1/25/2015,0.959355084,0.893494607
1/26/2015,0.9481285,0.89083644
1/27/2015,0.958881095,0.848866169
1/28/2015,0.954770185,0.853872819
1/29/2015,0.951745037,0.854456812
1/30/2015,0.952528875,0.876158873
1/31/2015,0.957052535,0.865836294
2/1/2015,0.953939998,0.888252343
2/2/2015,0.959321121,0.875873501
2/3/2015,0.95257587,0.840309753
2/4/2015,0.946027883,0.918899538
2/5/2015,0.952004285,0.837994215
2/6/2015,0.954009289,0.828956141
2/7/2015,0.949321415,0.827040204
2/8/2015,0.955348723,0.83750544
2/9/2015,0.948316767,0.853874125
2/10/2015,0.94684589,0.906763648
2/11/2015,0.945626478,0.933681628
2/12/2015,0.95375805,0.918462844
2/13/2015,0.958075797,0.869106525
2/14/2015,0.960379351,0.848367625
2/15/2015,0.953752535,0.877266361
2/16/2015,0.962052757,0.889239746
2/17/2015,0.960559333,0.874806435
2/18/2015,0.942710863,0.845447313
2/19/2015,0.955091752,0.84972823
2/20/2015,0.958419036,0.846411316
2/21/2015,0.942253464,0.871887895
2/22/2015,0.956050596,0.842993061
2/23/2015,0.957429687,0.854355761
2/24/2015,0.942240373,0.878581623
2/25/2015,0.951977628,0.845808362
2/26/2015,0.958664898,0.85785912
2/27/2015,0.955590387,0.85620158
2/28/2015,0.953801945,0.880221098
3/1/2015,0.959435591,0.851972294
3/2/2015,0.945743911,0.827832066
3/3/2015,0.956735793,0.835745151
3/4/2015,0.942890443,0.837258788
3/5/2015,0.957439113,0.848375424
3/6/2015,0.956544482,0.853414197
3/7/2015,0.960286485,0.849863398
3/8/2015,0.959059268,0.880561063
3/9/2015,0.946442958,0.880396984
3/10/2015,0.950128908,0.893196744
3/11/2015,0.956261343,0.837964024
3/12/2015,0.939241783,0.81373208
3/13/2015,0.95752241,0.845145289
3/14/2015,0.95948074,0.840341192
3/15/2015,0.94726523,0.918257259
3/16/2015,0.960276024,0.845167859
3/17/2015,0.961789376,0.832255072
3/18/2015,0.956511156,0.835863326
3/19/2015,0.951545429,0.866489756
3/20/2015,0.953114834,0.89731324
3/21/2015,0.960238852,0.837875719
3/22/2015,0.958078585,0.821832048
3/23/2015,0.959457254,0.823272711
3/24/2015,0.96150857,0.82358776
3/25/2015,0.956168765,0.830886558
3/26/2015,0.950102627,0.854740679
3/27/2015,0.960646911,0.855322004
3/28/2015,0.956032425,0.846845848
3/29/2015,0.950523841,0.837161648
3/30/2015,0.951438849,0.831086286
3/31/2015,0.957311008,0.817254529
4/1/2015,0.950848583,0.838854148
4/2/2015,0.955534296,0.833447251
4/3/2015,0.952232217,0.839440063
4/4/2015,0.948818569,0.846374807
4/5/2015,0.952753599,0.825059841
4/6/2015,0.953246917,0.820025768
4/7/2015,0.953784693,0.815590918
4/8/2015,0.95866706,0.813633092
4/9/2015,0.960023665,0.809461313
4/10/2015,0.95043633,0.836969679
4/11/2015,0.952756073,0.809628793
4/12/2015,0.94916986,0.831333275
4/13/2015,0.958326221,0.831298752
4/14/2015,0.958278004,0.82841677
4/15/2015,0.948919998,0.822344237
4/16/2015,0.951590684,0.838209497
4/17/2015,0.947045876,0.836494749
4/18/2015,0.958737654,0.836102212
4/19/2015,0.956592548,0.870002128
4/20/2015,0.958367845,0.828813402
4/21/2015,0.9546648,0.83210756
4/22/2015,0.942243573,0.86816181
4/23/2015,0.953971675,0.832449983
4/24/2015,0.950704225,0.836848936
4/25/2015,0.952149086,0.843259953
4/26/2015,0.958429613,0.842260217
4/27/2015,0.960304731,0.833541751
4/28/2015,0.961961626,0.825185328
4/29/2015,0.962714676,0.818851296
4/30/2015,0.960655443,0.829846172
5/1/2015,0.956467774,0.822117477
5/2/2015,0.948003987,0.822152667
5/3/2015,0.960051018,0.825478598
5/4/2015,0.960287737,0.829936802
5/5/2015,0.95368672,0.827291085
5/6/2015,0.953356322,0.839831041
5/7/2015,0.959677792,0.839137326
5/8/2015,0.953582684,0.851424984
5/9/2015,0.961073107,0.832867065
5/10/2015,0.957118193,0.845547135
5/11/2015,0.956498313,0.81971196
5/12/2015,0.948934469,0.825129913
5/13/2015,0.959872461,0.823849271
5/14/2015,0.959232557,0.82587655
5/15/2015,0.949799962,0.838992696
5/16/2015,0.963269406,0.830256502
5/17/2015,0.962711621,0.827884042
5/18/2015,0.962988827,0.824407916
5/19/2015,0.959544421,0.821815418
5/20/2015,0.944754735,0.835170071
5/21/2015,0.953917163,0.821046009
5/22/2015,0.948521116,0.88221502
5/23/2015,0.958261597,0.84099738
5/24/2015,0.957835194,0.855898814
5/25/2015,0.944182585,0.851467438
5/26/2015,0.951166035,0.825037337
5/27/2015,0.963440268,0.845874206
5/28/2015,0.963604329,0.838743999
5/29/2015,0.964101527,0.83379854
5/30/2015,0.963083164,0.834163825
5/31/2015,0.951204604,0.846379321
6/1/2015,0.95231761,0.871698771
6/2/2015,0.960146976,0.877402289
6/3/2015,0.958331179,0.862665835
6/4/2015,0.963595762,0.857098556
6/5/2015,0.962387188,0.875841131
6/6/2015,0.959621633,0.881512653
6/7/2015,0.964569624,0.876603853
6/8/2015,0.964327269,0.878138435
6/9/2015,0.955103342,0.860741859
6/10/2015,0.946674496,0.820869331
6/11/2015,0.93135625,0.778601657
6/12/2015,0.954903017,0.900309103
6/13/2015,0.960827369,0.946532662
6/14/2015,0.961077518,0.90345114
6/15/2015,0.963711002,0.892141599
6/16/2015,0.957747639,0.890970632
6/17/2015,0.949381079,0.893352116
6/18/2015,0.954689322,0.859875538
6/19/2015,0.962085705,0.899060683
6/20/2015,0.929237336,0.807726458
6/21/2015,0,NaN
6/22/2015,0.956612976,0.901117064
6/23/2015,0.9619324,0.887168348
6/24/2015,0.952371406,0.867343995
6/25/2015,0.950204364,0.885327631
6/26/2015,0.957664445,0.909412447
6/27/2015,0.942038366,0.823843668
6/28/2015,0.962855622,0.955219464
6/29/2015,0.944292509,0.881780069
6/30/2015,0.951742067,0.888348996
7/1/2015,0.942508711,0.869778902
7/2/2015,0.951572898,0.886598035
7/3/2015,0.956623361,0.928004193
7/4/2015,0.942905096,0.825223034
7/5/2015,0.957710984,0.922591297
7/6/2015,0.96351243,0.946035735
7/7/2015,0.942311277,0.815860017
7/8/2015,0.943380932,0.855876257
7/9/2015,0.949469254,0.879717142
7/10/2015,0.959181744,0.938020728
7/11/2015,0.936771045,0.809124131
7/12/2015,0.955906769,0.929097681
7/13/2015,0.954813485,0.887826939
7/14/2015,0.963809217,0.920728441
7/15/2015,0.953039927,0.871147349
7/16/2015,0.932110032,0.757576923
7/17/2015,0.953028714,0.912931487
7/18/2015,0.959220676,0.938242935
7/19/2015,0.964623734,0.939823279
7/20/2015,0.959180951,0.91100229
7/21/2015,0.95587546,0.896097195
7/22/2015,0.935883621,0.753288446
7/23/2015,0.928093306,0.659013358
7/24/2015,0.941950622,0.765564899
7/25/2015,0.956280788,0.918438204
7/26/2015,0.961490811,0.948445815
7/27/2015,0.964066063,0.948361605
7/28/2015,0.964927496,0.949420224
7/29/2015,0.956582438,0.803374759
7/30/2015,0.961206897,0.918846802
7/31/2015,0.960298992,0.987915933
8/1/2015,0.95043546,0.926331718
8/2/2015,0.960113758,0.962618331
8/3/2015,0.952166774,0.89620742
8/4/2015,0.953663793,0.995555958
8/5/2015,0.957548224,0.936421414
8/6/2015,0.051724138,NaN
8/7/2015,0.96368066,1.790901545
8/8/2015,0.963338592,1.246571592
8/9/2015,0.931185062,0.79259661
8/10/2015,0.873651249,NaN
8/11/2015,0.922035693,1.14946554
8/12/2015,0.870178098,NaN
8/13/2015,0.916907185,0.357029371
8/14/2015,0.957790972,0.961172415
8/15/2015,0.95113671,0.876426168
8/16/2015,0.957524549,0.852764764
8/17/2015,0.944766555,0.829971978
8/18/2015,0.919068736,0.693887664
8/19/2015,0.956686291,0.894970487
8/20/2015,0.964523282,1.078456497
8/21/2015,0.959118774,1.042923074
8/22/2015,0.961312027,0.934670534
8/23/2015,0.935889594,0.596605169
8/24/2015,0.939483141,0.756717504
8/25/2015,0.948314007,0.816187316
8/26/2015,0.947587736,0.944956782
8/27/2015,0.950869698,0.811201577
8/28/2015,0.949722159,0.948279566
8/29/2015,0.948921464,0.955899414
8/30/2015,0.965365669,0.995223905
8/31/2015,0.94646098,0.857457365
9/1/2015,0.957669962,0.935662681
9/2/2015,0.946130101,0.942754689
9/3/2015,0.953797611,0.902298551
9/4/2015,0.930472264,0.735346276
9/5/2015,0.953399656,0.843335678
9/6/2015,0.960927004,0.944816178
9/7/2015,0.95903776,0.941271561
9/8/2015,0.933444568,0.748459519
9/9/2015,0.953492674,0.942365966
9/10/2015,0.957466363,0.973430488
9/11/2015,0.957483492,0.881394541
9/12/2015,0.923054396,0.351520795
9/13/2015,0.952358387,0.134664704
9/14/2015,0.95972182,0.548744927
9/15/2015,0.963709969,1.027038642
9/16/2015,0.945504283,0.933758228
9/17/2015,0.963692946,0.989419348
9/18/2015,0.957199971,0.956405149
9/19/2015,0.895806726,0.029412549
9/20/2015,0.962266817,0.496872431
9/21/2015,0.963234778,0.977178041
9/22/2015,0.962754424,1.012148677
