,Quality Control Index,Performance Ratio
9/23/2015,0.955158509,0.977806554
9/24/2015,0.95880072,0.959182926
9/25/2015,0.958565627,0.902039315
9/26/2015,0.956673751,1.077956267
9/27/2015,0.949332152,0.79704649
9/28/2015,0.961410535,0.95123902
9/29/2015,0.962041973,1.03271728
9/30/2015,0.906432749,0.027289554
10/1/2015,0.940939105,0.078001945
10/2/2015,0.943259584,0.100009742
10/3/2015,0.878286431,NaN
10/4/2015,0.850947618,0.006183093
10/5/2015,0.878689916,0.015788212
10/6/2015,0.913175016,0.019561578
10/7/2015,0.8681827,0.015609266
10/8/2015,0.882913021,NaN
10/9/2015,0.868018681,NaN
10/10/2015,0.863055096,NaN
10/11/2015,0.876906042,NaN
10/12/2015,0.84913008,NaN
10/13/2015,0.876275111,NaN
10/14/2015,0.893414104,0.010878626
10/15/2015,0.876617347,NaN
10/16/2015,0.882844674,0.010752095
10/17/2015,0.889092688,0.012951565
10/18/2015,0.875722192,0.013121776
10/19/2015,0.917332123,0.242147672
10/20/2015,0.88608052,NaN
10/21/2015,0.923611111,0.134691187
10/22/2015,0.909624203,0.388376744
10/23/2015,0.943159638,0.795382465
10/24/2015,0.962687887,1.021638248
10/25/2015,0.939347813,1.022803555
10/26/2015,0.963099953,0.966686865
10/27/2015,0.958794552,1.033182024
10/28/2015,0.953004267,0.946817532
10/29/2015,0.954415055,0.964541381
10/30/2015,0.961527501,0.983285409
10/31/2015,0.95094147,0.847368935
11/1/2015,0.95908347,0.978718905
11/2/2015,0.952403684,0.917656354
11/3/2015,0.961605097,1.028164717
11/4/2015,0.953689822,0.968474494
11/5/2015,0.962698939,0.970447138
11/6/2015,0.962707943,0.980753488
11/7/2015,0.948850575,0.91053878
11/8/2015,0.959633927,0.94711413
11/9/2015,0.950010844,0.928350379
11/10/2015,0.963011853,0.927522398
11/11/2015,0.963533008,0.95817757
11/12/2015,0.952632986,0.964626163
11/13/2015,0.924127305,0.239211432
11/14/2015,0.962343981,0.900127033
11/15/2015,0.941458278,0.906060625
11/16/2015,0.961069541,0.927992375
11/17/2015,0.965074487,0.945310115
11/18/2015,0.961628208,0.97152058
11/19/2015,0.955668717,0.965980518
11/20/2015,0.963153297,0.947733417
11/21/2015,0.964800982,0.964709762
11/22/2015,0.964778689,0.935542698
11/23/2015,0.956110548,0.925049774
11/24/2015,0.949889091,0.883263898
11/25/2015,0.947347287,0.903458901
11/26/2015,0.960437416,0.985231834
11/27/2015,0.963897748,0.915753449
11/28/2015,0.494091632,0.205613714
11/29/2015,0.963431591,1.06253759
11/30/2015,0.94712411,1.017543074
12/1/2015,0.842545123,0.021095452
12/2/2015,0.828397151,0.057383673
12/3/2015,0.078347377,0
12/4/2015,0.051724138,NaN
12/5/2015,0.939815806,0.89536963
12/6/2015,0.955890805,0.928310429
12/7/2015,0.919744626,0.623476678
12/8/2015,0.875869313,NaN
12/9/2015,0.878182744,0.009115166
12/10/2015,0.934760374,0.293583868
12/11/2015,0.951973058,0.918009848
12/12/2015,0.938570693,0.878956985
12/13/2015,0.963671269,0.96725543
12/14/2015,0.94097145,0.831732802
12/15/2015,0.953663793,0.995555958
12/16/2015,0.957548224,0.936421414
12/17/2015,0.051724138,NaN
12/18/2015,0.96368066,1.790901545
12/19/2015,0.963338592,1.246571592
12/20/2015,0.931185062,0.79259661
12/21/2015,0.873651249,NaN
12/22/2015,0.922035693,1.14946554
12/23/2015,0.947559043,0.909905891
12/24/2015,0.955339511,0.920903984
12/25/2015,0.947362412,0.780118994
12/26/2015,0.935192249,0.569652082
12/27/2015,0.953452082,0.807538305
12/28/2015,0.925236497,0.634790292
12/29/2015,0.930805107,0.596915374
12/30/2015,0.951678263,0.929611012
12/31/2015,0.946746693,0.645779399
1/1/2016,0.94091954,0.724529181
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
